Código,Nome,Volume,Última (R$),Variação
PDGR3,PDG Realty,37.000,6,05,+1,17%
FHER3,Fertilizantes Heringer,34.200,14,90,-3,12%
LVTC3,WDC Networks,32.200,6,35,+2,58%
DEXP3,Dexxos,30.900,9,53,+0,32%
COCE5,Coelce,30.000,54,95,-1,54%
CTSA4,Santanense,29.900,2,97,+1,02%
PMAM3,Paranapanema,29.500,4,65,-0,21%
RDNI3,RNI,26.600,5,91,-0,17%
WLMM4,WLM,26.300,20,06,-1,08%
PTNT4,Pettenati,25.300,7,20,+3,00%
VSTE3,LE LIS BLANC,25.200,18,20,+1,11%
MWET4,Wetzel,25.200,10,80,-0,64%
HAGA4,Haga,25.100,1,30,-1,52%
CGRA3,Grazziotin,24.600,29,00,-0,28%
ALUP4,Alupar,23.600,9,90,+0,92%
BRKM3,Braskem,22.600,27,50,+0,26%
BOBR4,Bombril,21.900,1,75,+1,74%
RAPT3,Randon,21.400,10,00,+1,83%
RSUL4,Metalúrgica Riosulense,20.900,62,78,+1,26%
UCAS3,Unicasa,18.800,2,84,-0,70%
TASA3,Taurus,18.200,15,02,+0,20%
CTNM4,Coteminas,17.300,3,10,+0,65%
LAND3,Terra Santa,16.200,25,17,+0,52%
OSXB3,OSX Brasil,16.100,4,80,-1,84%
ENGI4,Energisa,15.800,9,00,+1,58%
CEBR6,CEB,14.200,14,80,+1,09%
BPAC5,Banco BTG Pactual,13.100,8,22,+3,92%
CEBR5,CEB,12.900,13,41,+0,68%
CEBR3,CEB,12.400,13,48,+1,20%
NEXP3,Brasil Brokers,12.300,6,69,+6,36%
BEES3,Banestes,12.200,9,10,+0,11%
ALUP3,Alupar,12.000,9,92,-0,80%
BAHI3,Bahema,10.800,9,65,+3,32%
CLSC4,Celesc,10.400,59,01,+0,02%
CTSA3,Santanense,9.700,4,01,-1,23%
APER3,Alper,9.000,28,94,-0,92%
CEDO4,Cedro Têxtil,8.700,9,40,+1,62%
AVLL3,Alphaville,8.700,6,95,-2,11%
BRSR3,Banrisul,8.200,14,80,+0,34%
ENGI3,Energisa,7.800,15,03,+1,21%
HOOT4,Hotéis Othon,7.800,2,40,+1,69%
OFSA3,Ourofino Saúde Animal,7.600,25,27,-1,29%
BEES4,Banestes,7.300,10,19,+0,79%
EALT4,Electro Aço Altona,7.000,8,04,+0,00%
CEEB3,COELBA,6.900,42,27,+1,00%
UNIP3,Unipar,6.700,77,12,+0,74%
BPAC3,Banco BTG Pactual,6.400,15,89,+5,86%
TELB4,Telebras,6.400,12,70,-1,55%
HAGA3,Haga,6.300,3,08,-2,53%
REDE3,Rede Energia,6.200,5,87,+1,38%
CRPG5,Tronox Pigmentos,6.100,36,67,+4,15%
BAZA3,Banco da Amazônia,5.300,70,16,+0,17%
CRIV4,Alfa Financeira,5.300,5,47,-0,18%
WHRL4,Whirlpool,5.300,4,69,+0,64%
ESTR4,Estrela,5.100,6,74,-5,07%
MNPR3,Minupar,4.900,12,98,+0,23%
SCAR3,São Carlos,4.600,20,60,+1,38%
DEXP4,Dexxos,4.500,8,85,-3,80%
EQPA3,Equatorial Energia Pará,3.700,5,76,-0,52%
TRPL3,Transmissão Paulista,3.600,33,49,+1,12%
HETA4,Hercules,3.600,6,29,+1,13%
MTSA4,METISA,3.300,46,83,-0,99%
FRTA3,Pomi Frutas,3.200,3,79,+2,43%
CEDO3,Cedro Têxtil,2.800,11,63,+1,22%
CRPG6,Tronox Pigmentos,2.300,35,75,+0,14%
EUCA3,Eucatex,2.300,18,37,+7,43%
MGEL4,Mangels,1.800,17,90,-0,44%
CTNM3,Coteminas,1.700,9,80,+2,94%
MNDL3,Mundial,1.500,55,50,-1,07%
BMEB4,Banco Mercantil do Brasil,1.400,10,79,-0,09%
CGRA4,Grazziotin,1.300,30,43,+0,36%
ALPA3,Alpargatas,1.300,10,04,-0,99%
BRGE3,Consórcio Alfa,1.300,9,99,+4,17%
EMAE4,EMAE,1.200,65,81,+4,38%
EALT3,Electro Aço Altona,1.000,8,40,+7,14%
CGAS5,Comgás,900,129,00,-0,03%
BALM3,Baumer,800,11,70,-0,59%
BALM4,Baumer,800,9,85,+0,00%
